hu1,hu2,hu3,hu4,hu5,hu6,hu7,etiqueta
1.5935728385e-01,6.0966627649e-05,3.3839759256e-07,2.0407420666e-10,-1.5387242596e-18,-1.4173816290e-12,7.1298369918e-19,5
1.5934969214e-01,5.7603033050e-05,6.1440508013e-07,3.6104022953e-10,-3.6726586691e-18,-1.9916857801e-12,-3.9276546670e-18,5
1.5928595292e-01,3.8367958508e-05,2.2514996685e-07,9.0119527318e-11,-2.0036552462e-20,1.3656727548e-14,4.0544750890e-19,5
1.5954604716e-01,1.2011023238e-04,5.9847886757e-07,7.0893044860e-10,-9.3317119179e-18,-4.8778091632e-12,1.1231863204e-17,5
1.5946605574e-01,9.4193854343e-05,7.3281501274e-07,7.7667365802e-10,1.6925888690e-17,6.8553801037e-12,-7.5394278951e-18,5
1.5956872578e-01,1.2158294260e-04,1.6846709026e-06,2.1118162802e-09,2.5935848935e-18,-1.8546979442e-12,-1.2593593129e-16,5
1.5973652786e-01,1.8044836439e-04,4.0910861002e-07,7.9220696285e-10,-1.1828280477e-17,-9.0458037983e-12,7.9682798744e-18,5
1.6016219105e-01,3.1527023241e-04,7.1627682943e-07,2.3092559437e-09,-6.1096946478e-17,-2.7807823200e-11,7.1328413093e-17,5
1.5999230901e-01,2.6189150656e-04,5.7148247805e-07,1.6293717463e-09,-1.9291396225e-17,-1.0832753595e-11,4.5824964745e-17,5
1.5952068812e-01,1.1065353766e-04,8.7397335822e-07,1.0183905837e-09,-1.5837264489e-17,-5.5943172500e-12,-2.5928078549e-17,5
1.6697339704e-01,1.1463697025e-04,7.0760460176e-06,2.7856254423e-08,-9.2955918208e-15,2.3897665291e-10,-8.1575276914e-15,1
1.6686331027e-01,8.5247369529e-05,8.8492953881e-06,4.5261416370e-08,-2.8644766536e-14,4.0788063289e-10,6.9258391393e-17,1
1.6711587004e-01,1.6676061208e-04,8.8889771681e-06,4.1895120542e-08,-2.4107194123e-14,5.0248774850e-10,-8.5140156661e-15,1
1.6682795846e-01,5.8931500769e-05,8.5945028817e-06,5.4771413619e-08,-3.6906917494e-14,4.1404224433e-10,7.0735586801e-15,1
1.6673450105e-01,4.5894253554e-05,9.1652432695e-06,5.8222496790e-08,-4.0525215981e-14,3.8696524645e-10,1.2907937295e-14,1
1.6709509795e-01,1.7093320815e-04,1.0612078130e-05,4.8410221040e-08,-2.7590890602e-14,6.2228313750e-10,2.1040474900e-14,1
1.6715037454e-01,1.7468749164e-04,1.0373999330e-05,3.5969319071e-08,-1.9096519573e-14,3.2379342522e-10,-1.0867190038e-14,1
1.6681775189e-01,9.1917746407e-05,6.6712390627e-07,2.4692923316e-09,1.8200855405e-17,-2.3268110747e-11,-9.8555210411e-17,1
1.6679495731e-01,8.9269006393e-05,6.7470566636e-07,1.7180317549e-09,5.8318314797e-17,-6.6199414847e-12,4.5173219201e-18,1
1.6733768955e-01,2.5783246705e-04,1.3025643275e-06,1.2651871365e-08,1.5465908944e-15,-3.7051268270e-11,4.9597169216e-16,1
1.6693636609e-01,9.1378387697e-05,3.3762453200e-06,3.2001687510e-08,9.7122557040e-15,-1.4491732867e-10,-4.0400989176e-15,1
1.6699565922e-01,1.1303323109e-04,9.7188068312e-06,7.0942727068e-08,5.7160032514e-14,-4.2330525062e-10,-1.4240347960e-14,1
1.6684246375e-01,6.2458070733e-05,1.4337174592e-05,1.0724007110e-07,1.3034098369e-13,-4.3862022682e-10,-2.6331903550e-14,1
1.6690552622e-01,1.0621707147e-04,6.8006347020e-06,7.9426825218e-08,5.5929769305e-14,-4.7173798202e-11,-1.6717658863e-14,1
1.6676443798e-01,4.0884774323e-05,6.7300187993e-06,6.4830145747e-08,4.2353211882e-14,8.9942207112e-11,6.3234175679e-15,1
1.9360914954e-01,1.6958574532e-04,4.7034635710e-03,4.9821714505e-06,6.9159510154e-10,5.6522924596e-08,-3.2150017994e-10,2
1.9368111903e-01,2.0829528602e-04,4.7006936380e-03,5.9330994150e-06,8.1700243614e-10,6.4744812037e-08,-5.6059824122e-10,2
1.9332232094e-01,2.1992690307e-04,4.6312382641e-03,5.9750510180e-06,6.6731353556e-10,5.2283247540e-08,-7.3662276774e-10,2
1.9347151848e-01,1.6601759867e-04,4.6788513894e-03,4.5612641446e-06,4.9198646870e-10,3.8731917637e-08,-4.4940130439e-10,2
